Molecule ID,pKa1,pKa2,pKa3,Assay Type,Experiment ID,Experimental Molecule ID,Experiment Report,canonical isomeric SMILES,Notes
SM01,9.54,,,UV-metric pKa,17I-15024,M01,SM01_17I-15024_M01_UV-metric pKa_report.pdf,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,
SM01,9.53,,,UV-metric pKa,17I-15025,M01,SM01_17I-15025_M01_UV-metric pKa_report.pdf,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,
SM01,9.53,,,UV-metric pKa,17I-16001,M01,SM01_17I-16001_M01_UV-metric pKa_report.pdf,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,
SM01,9.71,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-06011,M01,SM01_17J-06011_M01_UV-metric psKa_report.pdf,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,not used for the analysis of predicted pKa
SM04,6.03,,,UV-metric pKa,17I-18018,M04,SM04_17I-18018_M04_UV-metric pKa_report.pdf,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,
SM04,6.02,,,UV-metric pKa,17I-18019,M04,SM04_17I-18019_M04_UV-metric pKa_report.pdf,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,
SM04,6.02,,,UV-metric pKa,17I-18020,M04,SM04_17I-18020_M04_UV-metric pKa_report.pdf,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,
SM04,5.97,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17K-09020,M04,SM04_17K-09020_M04_UV-metric psKa_report.pdf,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,not used for the analysis of predicted pKa
SM06,2.96,11.76,,UV-metric pKa,17I-18021,M06,SM06_17I-18021_M06_UV-metric pKa_report.pdf,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,
SM06,3.11,11.74,,UV-metric pKa,17I-18022,M06,SM06_17I-18022_M06_UV-metric pKa_report.pdf,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,
SM06,3.02,11.71,,UV-metric pKa,17I-18023,M06,SM06_17I-18023_M06_UV-metric pKa_report.pdf,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,
